Document type,Title,No.,Topic area , Models and Strategies ,Biological endpoints,Experimental systems,EUProject,Regulatory  information,Supplementary materials (Downloads)
Protocol,Aggregating brain cell cultures for neurotoxicity testing - a high content approach: measurements of RNA synthesis and gene expression,145,Systemic Toxicity,"Brain Reaggregates
Primary Cell Culture","Gene expression: Beta actin
Gene expression: Glial fibrillary acidic protein (GFAP)
Gene expression: Heat shock protein-32 / Heme oxygenase-1 (HSP-32 or HO-1)
Gene expression: Myelin basic protein (MBP)
Gene expression: Neurofilament protein (NF-H)
Metabolic effects",Brain reaggregate culture (rat),ACuteTox,,
Protocol,Neural network models for the prediction of blood-brain-barrier passage and human intestinal absorption,152,Systemic Toxicity,"(Q)SARs
Mathematical Models (in silico)","Blood-brain barrier permeability
Intestinal absorption",Neural network model <em>(in silico)</em>,ACuteTox,,Annexes
Protocol,Direct Peptide Reactivity Assay (DPRA) for Skin Sensitisation Testing,154,Skin Sensitisation & Allergic Contact Dermatitis,"BIO-CHEMICALS & POLYMERS
PHYSICO-CHEMICAL ASSAYS",Direct peptide reactivity,Peptides containing Cys or Lys (synthetic),,https://tsar.jrc.ec.europa.eu/test-method/tm2009-06,Validation study template
Method summary,Slug Mucosal Irritation Test - Summary,0,Eye Irritation,Animal Origin,"Enzyme activity
Mucus production
Protein content: total","slug (Arion lusitanicus)
slug (Limax flavus)",,,
Protocol,KeratinoSens™,155,Skin Sensitisation & Allergic Contact Dermatitis,"Cell Lines
Genetically Engineered Cells
Human Origin",Gene expression: Antioxidant response element (ARE)-mediated,KeratinoSens TM; cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2010-03,Study_data analysis_templates
Method summary,Static Diffusion Cells - Summary,0,Percutaneous Absorption,Non viable isolated tissues (epidermal membranes & full thickness skin),"Flux (across skin models)
Permeability coefficient
Relative absorption","Reconstituted dermal model
Skin tissues (animal or human origin)",,,
Protocol,Bhas 42 Cell Transformation Assay in 6- and 96-well plates,156,Cell transformation,Cell Lines,"Cell number
Morphological transformation of cell colonies
Plating efficiency",Bhas 42 - Engineered mouse embryo BALB 3T3 cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2012-06,Photos_reporting templates
Method summary,Steroidogenesis assay using H295R cell line,456,Effects on Endocrine System,"Cell Lines
Human Origin
TESTING STRATEGIES","Cell viability
Estrogen production
Hormone production
Steroidogenesis
Testosterone production",H295R - human adrenocortical carcinoma cell line,,,
Protocol,Ocular Irritection® Assay System,157,Eye Irritation,BIO-CHEMICALS & POLYMERS,Optical density,Protein matrix,,https://tsar.jrc.ec.europa.eu/test-method/tm2009-01,
Protocol,human Cell Line Activation Test  (h-CLAT),158,Skin Sensitisation & Allergic Contact Dermatitis,"Genetically Engineered Cells
Human Origin",Cell surface phenotypic biomarkers (CD86 and CD54),THP-1 - Human monocytic leukemia cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2008-05,Data analysis templates
Protocol,Bacterial Mutation Assay (with S.typhimurium and E. coli),160,Genotoxicity/Mutagenicity,"Genetically Engineered Cells
Microorganisms","Gene mutation
Gene mutation: reverse mutation","<em>Escherichia coli</em>
Salmonella typhimurium",,,
Method summary,Suspension culture of freshly isolated or cryopreserved hepatocytes - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Primary Cell Culture","Calcium homeostasis perturbation
Cell function: membrane damage
Cell function: mitochondrial activity
Cell morphology
Cell viability
Cellular functional parameters
DNA damage: adduct formation
DNA damage: strand breakage
DNA damage: strand breakage
DNA damage: unscheduled synthesis
Generation of Reactive Oxygen Species (ROS)
Ion channel function, potassium
Lipid peroxidation
Metabolic competence
Metabolic effects
Protein content: metallothionein
Steatosis",Primary hepatocytes (mammals),,,
Method summary,Tape stripping in vitro  - Summary,0,Percutaneous Absorption,"Animal Origin
Human Origin","Flux (across skin models)
Partition coefficient
Permeability coefficient","Skin tissues (animal or human origin)
Stratum corneum",,,
Method summary,Terminal deoxynucleotidyl transferase-mediated dUTP Nick End Labeling (TUNEL) assay - Summary,0,Drug Discovery and Activity Testing,"Animal Origin
Cell Lines
Human Origin",Apoptosis,Cell line cultures,,,
Protocol,Ocular Irritation Assay for Chemicals Using EpiOcularTM EIT,164,Eye Irritation,"3-DIMENSIONAL MODELS
Corneal Models
Human Origin","Cell viability
Vital dye reduction: MTT to formazan",EpiOcularTM,,https://tsar.jrc.ec.europa.eu/test-method/tm2008-10,Validation study protocol
Method summary,Testicular Organ and Tissue Culture Systems - Summary,0,Effects on the male fertility,"Animal Origin
ORGAN & ORGAN PARTS","Apoptosis
Cell morphology
Cell number
Cell proliferation
Cellular functional parameters",Testicular organ or tissue cultures (foetal or neonatal of different species),ReProTect,,
Protocol,Standard operating procedure for differentiation of human induced pluripotent stem cells into post-mitotic neurons and glial cells (mixed culture),165,Stem cell culture method,"Human Origin
Stem Cells",,hiPS(IMR90) - Human induced-pluripotent stem cells,SEURAT-1,,
Method summary,Tetrahymena Thermophila Motility Test (TMT) - Summary,22,Eye Irritation,Microorganisms,Protozoa motility,Protozoa (<em>Tetrahymena thermophila</em>),,,
Protocol,Standard operating procedure for expansion of rosette-derived neural stem cells,166,Stem cell culture method,"Human Origin
Stem Cells",,hiPS(IMR90) - Human induced-pluripotent stem cells,SEURAT-1,,
Method summary,The Drosophila Model - Summary,0,Developmental toxicity,Animal Origin,"Developmental stage: <em>D. melanogaster</em>
Egg hatching: <em>D. melanogaster</em>
Enzyme activity
Fecundity
Gene expression profiling (omics techniques)
Generation of Reactive Oxygen Species (ROS)
Morphological effects
Reproductive performance
Survival of adult fly (<em>D. melanogaster)</em>",Fuit fly (<em>Drosophila melanogaster</em>),,,
Method summary,The frog embryo teratogenesis assay: Xenopus (FETAX) - Summary,0,Developmental toxicity,EMBRYO CULTURE,"Apoptosis
Cell function: membrane damage
Embryo development
Embryo growth
Embryo morphology
Embryo motility
Embryo pigmentation
Enzyme activity: AcetylCholinEsterase (AChE)
Gene expression: Biomarkers
Gene expression: N-cadherin
Larvae viability
Morphological effects
Oocyte fertilisation",Amphibians,,,
Method summary,The Human Bio-Accumulation Model,163,Systemic Toxicity,Mathematical Models (in silico),"Bioaccumulation
Bioavailability
Systemic availability",,SEURAT-1,,
Protocol,DNA methylation analysis using HumanMethylation450 microarray,170,Mechanistic Studies,,"CpG Methylation
Genomic DNA Methylation",Human Methylation 450 BeadChip microarray,SEURAT-1,,
Method summary,The Micromass Test - Summary,122,Developmental toxicity,Animal Origin,"Apoptosis
Cartilage maturation
Cell adhesion
Cell cycle analysis
Cell proliferation
Cell viability
Cell-cell contact: gap junction integrity
Cellular functional parameters
DNA damage: oxidation
Generation of Reactive Oxygen Species (ROS)
Incorporation of radiolabels","Embryonic limb bud cultures (mouse, rat, chick)
Undifferentiated embryo CNS cells (rat, mouse, chicken)
Undifferentiated embryo heart cells (chicken)",,https://tsar.jrc.ec.europa.eu/test-method/tm1999-02,
Protocol,Analysis of histone modifications via chromatin immunoprecipitation and sequencing (ChIP-seq),171,Mechanistic Studies,,Histone modification,Chromatin immunoprecipitate,SEURAT-1,,
Method summary,The technique of hepatocyte isolation and cryopreservation - Summary,7,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Primary Cell Culture",,"Primary hepatocytes (fish)
Primary hepatocytes (mammals)",,,
Method summary,The use of avian embryonic tissue for studies on metabolism and metabolism-mediated toxicity of chemicals - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
IN OVO METHODS","DNA damage: adduct formation
DNA damage: strand breakage
DNA damage: strand breakage
Enzyme induction: <span id=""id_met=323-outerCt"">cytochrome P450 family</span>
Liver morphology","Avian embryo<em> in ovo</em> (hen, turkey, quail, duck, eagle)",,,
Method summary,The use of liver slices for hepatotoxicity studies- Summary,42,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
Liver slices","Apoptosis
Cell communication
Cell function: membrane damage
Cell morphology
Cell viability
Enzyme induction: <span id=""id_met=323-outerCt"">cytochrome P450 family</span>
Gene expression profiling (omics techniques)
Metabolic competence
Metabolic effects
Tissue necrosis: liver","Hand-cut liver slices
Precision-cut liver slices",,,
Method summary,The use of stem or progenitor cell-derived hepatocyte-like cells - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Co-cultures
Human Origin
Stem Cells","Apoptosis
Cell function: membrane damage
Cell function: membrane depolarisation
Cell viability
Generation of Reactive Oxygen Species (ROS)
Lipid peroxidation",Hepatocyte-like cells derived from stem cells or progenitor cells,,,
Method summary,The use of subcellular fractions of liver tissue and liver homogenate - Summary,0,Hepatotoxicity / Metabolism-mediated Toxicity,"Animal Origin
Human Origin
SUBCELLULAR FRACTION","Cell function: membrane damage
Cell function: mitochondrial activity
Cell function: mitochondrial activity
Cell function: mitochondrial membrane potential
Generation of Reactive Oxygen Species (ROS)
Lipid peroxidation
Metabolic effects","Liver homogenate
Subcellular fraction of liver cells (cytosol)
Subcellular fraction of liver cells (microsomes)
Subcellular fraction of liver cells (mitochodria)",,,
Method summary,The Virtual Cell Based Assay,162,Systemic Toxicity,Mathematical Models (in silico),"Cell proliferation
Cell viability
Cellular functional parameters",,SEURAT-1,,
Method summary,Thermo-Gravimetric Analysis (TGA)- Summary,0,Percutaneous Absorption,"Animal Origin
Human Origin
Non viable isolated tissues (epidermal membranes & full thickness skin)","Dose absorbed
Partition coefficient
Permeability coefficient","Skin (porcine flap)
Stratum corneum",,,
Method summary,Tissue Equivalent Assay (TEA)  and  related Dermal Models using Fibroblasts - Summary,12,Eye Irritation,"Co-cultures
Corneal Models
Human Origin
Primary Cell Culture",Cell viability,"Reconstituted dermal model
Skin<sup>2 TM</sup> Tissue Model (1100)",,,
Method summary,Tissue Isoelectric Focusing (TIF) of Corneal Proteins - Summary,0,Eye Irritation,"Animal Origin
Corneal Models
Eye & Eye Parts
Human Origin",Tissue Isoelectric Focusing (TIF) protein profile,"Cornea (human)
Cornea (rabbit)",,,
Method summary,Transactivation  Assays to Detect Estrogen Receptor Agonists and Antagonists In Vitro with Stably Transfected Human Cell Lines,455,Effects on Endocrine System,Genetically Engineered Cells,"Anti-estrogenic activity
Cell proliferation
Cell viability
Estrogenic activity (Estrogenicity)
Receptor activity: Estrogen Receptor (ER)
Receptor activity: Estrogen Receptor (ER)
Reporter gene expression: Luciferase (Luc)","(h)ER&#945;-HeLa-9903 - Engineered human cervix carcinoma cell line
BG1Luc-4E2 - Engineered human ovarian adenocarinoma cell line",,,
Method summary,Trypan Blue Dye Exclusion - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin",Trypan blue exclusion,K562 - Human chronic myelogenous leukemia cell line,,,
Method summary,Uridine Uptake Inhibition Assay - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin",Uridine uptake,3T3 - Mouse fibroblasts,,,
Method summary,WST-1 Cytotoxicity Assay using Corneal Cells - Summary,0,Eye Irritation,"Animal Origin
Cell Lines
Human Origin
Primary Cell Culture",Cell viability,"HCE - Human corneal epithelial cells
RCE - Rabbit corneal epithelial cell line",,,
Method summary,Zebrafish Embryo Assay for Developmental Toxicity - Summary,0,Developmental toxicity,EMBRYO CULTURE,"Developmental stage: zebrafish
Embryo viability
Gene expression profiling (omics techniques)
Morphological effects","Fish embryo culture (medaka, zebrafish, Oryzias latipes)",,,
Method summary,Assessment of mitochondrial health and cell viability with HTS/HCA in HepaRG cells exposed to nanomaterials,185,Systemic Toxicity,"CELL CULTURES
Cell Lines","Cell function: mitochondrial activity
Cell number
Cell viability",HepaRG - Human hepatoma cell line,,,
Method summary,SkinEthicTM Human Corneal Epithelium Model - Summary,0,Eye Irritation,"Cell Lines
Corneal Models
Human Origin","Cell viability
Vital dye reduction: MTT to formazan","Reconstituted corneal model
SkinEthicTM HCE",,,
Protocol,U937 Cell Line Activation Test for Skin Sensitization (U-SENS™),183,Skin Sensitisation & Allergic Contact Dermatitis,Cell Lines Human Origin,"Cell surface phenotypic biomarker (CD86)
Cell viability",U937 - Human Histiocytic lymphoma cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2013-02,Data analysis material
Protocol,LuSens Assay,184,Skin Sensitisation & Allergic Contact Dermatitis,"Cell Lines
Genetically Engineered Cells
Human Origin","Cell viability
Gene expression: Antioxidant response element (ARE)-mediated
Reporter gene expression: Luciferase (Luc)
Vital dye reduction: MTT to formazan",Transgenic keratinocyte reporter cell line -Antioxidant Response Element (ARE),,https://tsar.jrc.ec.europa.eu/test-method/tm2011-10,Annexes
Protocol,SkinEthic™ RHE Skin Corrosion Test,188,Skin Irritation and Corrosivity,Reconstructed Models of Keratinocytes,Vital dye reduction: MTT to formazan,Skin EthicTM RhE,,,Analytical method description
Protocol,SkinEthic™ HCE Eye Irritation Test Liquid (EITL),190,Eye Irritation,Reconstructed Models of Keratinocytes,"Cell viability
Vital dye reduction: MTT to formazan",Human Corneal Epithelium model (SkinEthic™ HCE),,https://tsar.jrc.ec.europa.eu/test-method/tm2015-03,Analytical method description
Protocol,SkinEthic™ HCE Eye Irritation Test Solid (EITS),191,Eye Irritation,Reconstructed Models of Keratinocytes,"Cell viability
Vital dye reduction: MTT to formazan",Human Corneal Epithelium model (SkinEthic™ HCE),,https://tsar.jrc.ec.europa.eu/test-method/tm2015-03,Analytical method description
Protocol,Cytochrome P450 (CYP) induction in vitro test method using cryopreserved primary human hepatocytes,193,Hepatotoxicity / Metabolism-mediated Toxicity,"Primary Cell Culture
Human Origin",Enzyme activity: Cytochrome P450 oxidoreductase (CYP),Hepatocytes (human),,https://tsar.jrc.ec.europa.eu/test-method/tm2009-13,FORMS
Protocol,Cytochrome P450 (CYP) enzyme induction in vitro method using cryopreserved differentiated human HepaRGTM cells,194,Hepatotoxicity / Metabolism-mediated Toxicity,"Cell Lines
Human Origin",Enzyme activity: Cytochrome P450 oxidoreductase (CYP),HepaRG - Human hepatoma cell line,,https://tsar.jrc.ec.europa.eu/test-method/tm2009-14,FORMS
Protocol,cMINC assay to test migration inhibition compounds on human iPSC-derived neural crest cells (NCCs),195,Basal Cytotoxicity,"Stem Cells 
Human Origin",Cell migration,"hiPS(IMR90) - Human induced-pluripotent stem cells
NCC - Human neural crest cell",EuToxRisk,,
Protocol,UKN3b assay to test compound-derived neurite integrity impairment in human mature dopaminergic neurons,196,Neurotoxicity,"Cell Lines
Human Origin",Neurite integrity,LUHMES-human LUnd Human MESencephalic cell line,EuToxRisk,,Data analysis template
Protocol,Automated CALUX reporter gene assay procedure,197,Effects on Endocrine System,"Cell Lines
Human Origin","cell signaling pathway activation
Receptor agonism
Receptor antagonism",U2-OS- human osteosarcoma cell line (ATCC HTB-96),EuToxRisk,,
Protocol,Steady-state daunorubicin accumulation assay,198,Basal Cytotoxicity,"Cell Lines
Human Origin",transporter inhibition,Human T-lymphoblast leukemia (CCRF-VCR1000 cell line),EuToxRisk,,
Protocol,Steady-state mitoxantrone accumulation assay,199,Basal Cytotoxicity,"Cell Lines
Human Origin",transporter inhibition,Human myeloid leukemia PLB985 cell line (PLB985 BCRP cells),EuToxRisk,,
Protocol,UKN4 assay to test compound-derived impairment in neurite outgrowth in differentiating human dopaminergic neurons,200,Neurotoxicity,"Cell Lines
Human Origin","Cell viability
Neurite outgrowth",LUHMES-human LUnd Human MESencephalic cell line,EuToxRisk,,Data analysis template
Protocol,Cell viability assay in HEK 293 cells by extracellular LDH and resazurin reduction after 24 h of toxicant treatment,201,Basal Cytotoxicity,"Cell Lines
Human Origin","Enzyme leakage: Lactate DeHydrogenase (LDH)
Extracellular lactate dehydrogenase (LDH)
Resazurin reduction",HEK 293- Human embryonic kidney 293 cells,EuToxRisk,,
Protocol,UKN3a assay to test compound-derived neurite integrity impairment in human mature dopaminergic neurons after long-term compound exposure,202,Neurotoxicity,"Cell Lines
Human Origin","Cell viability
Neurite integrity",LUHMES-human LUnd Human MESencephalic cell line,EuToxRisk,,Data analysis template
Protocol,Cell viability in SH-SY5Y cells by the ATP luminescence assay,205,Basal Cytotoxicity,"Cell Lines
Human Origin",cell viability ATP,SH-SY5Y - Human neuroblastoma cell line,EuToxRisk,,
Protocol,Calcium assay using differentiated SH-SY5Y cells,206,Neurotoxicity,"Cell Lines
Human Origin","intracellular calcium concentration
potassium chloride (KCl)-activated voltage operated calcium channels (VOCC)",SH-SY5Y - Human neuroblastoma cell line,EuToxRisk,,Data analysis template
Protocol,ATP viability assay for measuring acute toxicity (72 hours exposure) on hiPSC derived TD42 neuronal cultures in 96-well plates.,207,Basal Cytotoxicity,"Cell Lines
Human Origin Stem cells",cell viability ATP,SBAD2- Human induced pluripotent stem cell (iPSC) ,EuToxRisk,,
Protocol,ATP viability assay for measuring acute toxicity (72 hours exposure) on hiPSC derived TD21 neuronal cultures in 96-well plates,208,Basal Cytotoxicity,"Cell Lines
Human Origin Stem cells",cell viability ATP,SBAD2- Human induced pluripotent stem cell (iPSC) ,EuToxRisk,,
Protocol,ATP viability assay for measuring chronic toxicity (120 hours exposure) on hiPSC derived TD21 neuronal cultures in 96-well plates,209,Basal Cytotoxicity,"Cell Lines
Human Origin Stem cells",cell viability ATP,SBAD2- Human induced pluripotent stem cell (iPSC) ,EuToxRisk,,
Protocol,ATP viability assay to test for neuro-cytotoxicity in SH-SY5Y neuroblastoma cells (72h),210,Neurotoxicity,"Cell Lines
Human Origin",cell viability ATP,SH-SY5Y - Human neuroblastoma cell line,EuToxRisk,,
Protocol,ATP viability assay to test for neuro-cytotoxicity in SH-SY5Y neuroblastoma cells (120h),211,Neurotoxicity,"Cell Lines
Human Origin",cell viability ATP,SH-SY5Y - Human neuroblastoma cell line,EuToxRisk,,
Method summary,Follicle Culture Bioassay (FBA),0,Effects on the female fertility,Animal Origin,"Cell development
Cellular functional parameters
Folliculogenesis
Oogenesis",Follicle culture system,ReProTect,,
Protocol,epiCS Skin Irritation Test (epiCS  SIT),212,Skin Irritation and Corrosivity,Human origin                                                                                                                                                     Reconstructed model of keratinocytes,Cell viability                                                                                                                                                                        Vital dye reduction: MTT to formazan,3D in vitro reconstructed Human Epidermis Equivalent (epiCS©),,https://tsar.jrc.ec.europa.eu/test-method/tm2009-09,
Protocol,epiCS Skin Corrosion Test (epiCS SCT),213,Skin Irritation and Corrosivity,Human origin                                                                                                                                                     Reconstructed model of keratinocytes,Cell viability                                                                                                                                                                        Vital dye reduction: MTT to formazan,3D in vitro reconstructed Human Epidermis Equivalent (epiCS©),,https://tsar.jrc.ec.europa.eu/test-method/tm2007-01 ,
Protocol,Expansion and standard maintenance of SBAD2 hiPSC derived NPCs,214,Stem cell culture method,"Cell Lines
Human Origin",,SBAD2- Human induced pluripotent stem cell (iPSC) ,EuToxRisk,,
Protocol,Expansion and standard maintenance of SBAD2 human induced Pluripotent Stem Cells (hiPSC),215,Stem cell culture method,"Cell Lines
Human Origin",,SBAD2- Human induced pluripotent stem cell (iPSC) ,EuToxRisk,,
Protocol,Cell culture protocol for the SH-SY5Y neuroblastoma cell line,216,Cell culture method,"Cell Lines
Human Origin",,SH-SY5Y - Human neuroblastoma cell line,EuToxRisk,,
Protocol,Kinetic Direct Peptide Reactivity Assay (kDPRA),217,Skin Sensitisation & Allergic Contact Dermatitis,"BIO-CHEMICALS & POLYMERS

PHYSICO-CHEMICAL ASSAYS",Reaction kinetics of direct peptide reactivity,Peptides containing Cys  (Synthetic heptapeptide),,,Suppl material (Annex I+Evaluation template)
Protocol,PeriTox-test to test neurotoxicants on human iPSC-derived immature dorsal root ganglia-like cells,218,"Neurotoxicity, Stem cell culture method","Cell Lines
Human Origin","Cell viability
Neurite outgrowth",human mini circle (mc) induced pluripotent stem cell (iPSC)  line (derived from adult human adipose stem cells),EuToxRisk,,
